accepted_at,created_at,current_state,deadline,description,estimate,id,kind,labels,name,owned_by_id,owner_ids,project_id,requested_by_id,story_type,updated_at,url
2013-11-22T01:20:30Z,2013-10-14T21:59:22Z,accepted,,,2.0,58846844,story,"[{'name': 'centos aws', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T21:07:12Z', 'id': 7034892, 'updated_at': '2013-11-14T21:07:12Z'}]",Build Centos/AWS Stemcell once,506755.0,[506755],956238,14062,feature,2013-11-22T01:20:31Z,https://www.pivotaltracker.com/story/show/58846844
2013-11-22T01:20:35Z,2013-10-14T21:59:29Z,accepted,,demo a running centos stemcell on AWS,2.0,58846852,story,"[{'name': 'centos aws', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T21:07:12Z', 'id': 7034892, 'updated_at': '2013-11-14T21:07:12Z'}]","Boot a Centos/AWS Stemcell
",506755.0,[506755],956238,14062,feature,2013-11-22T01:20:35Z,https://www.pivotaltracker.com/story/show/58846852
2013-11-22T01:24:52Z,2013-10-24T18:36:22Z,accepted,,"After some discussion with @ajackson @tlabeeuw & @mattr we agreed that each team's acceptance environment should only ever have release-candidate (~ deployed to A1) versions of the other team's artifacts.

For instance for Dijon this means a bleeding edge Services release but a release-candidate cf-release.

In keeping with this convention the BOSH team should have its own environment for auto-deploys, package cache population and general acceptance. BOSH CI should no longer automatically deploy to Tabasco & Dijon.

The BOSH team should instead publish a ""release-candidate"" branch like Services & Runtime that the other teams can use to update BOSH on their respective acceptance environments. This is similar to how the PRISM environment is managed currently.",4.0,59507586,story,"[{'name': 'ci', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034568, 'updated_at': '2013-11-14T20:34:18Z'}]","BOSH's CI should auto-deploy to its own acceptance environment on vsphere instead of the other teams' acceptance environment (i.e. Dijon, Tabasco & PRISM)",81882.0,[81882],956238,5637,feature,2013-11-22T01:24:53Z,https://www.pivotaltracker.com/story/show/59507586
2013-11-22T02:10:40Z,2013-11-14T19:11:33Z,accepted,,http://aws.amazon.com/about-aws/whats-new/2013/11/13/announcing-aws-cloudtrail/,1.0,60793894,story,[],Investigate and enable aws cloudtrail,637633.0,[637633],956238,14062,feature,2013-11-22T02:10:41Z,https://www.pivotaltracker.com/story/show/60793894
2013-11-22T04:55:14Z,2013-11-21T18:36:15Z,accepted,,"One implementation might be:

`rake sandbox:director:start` which starts a director like the integration tests",,61231410,story,[],As a BOSH developer I would like the ability to start a director on my development machine with a dummy CPI so I can iterate faster on director improvments,5637.0,[5637],956238,5637,chore,2013-11-22T04:55:14Z,https://www.pivotaltracker.com/story/show/61231410
2013-11-22T22:41:59Z,2013-11-22T20:05:30Z,accepted,,"The autodeploy is currently failing as the latest build number is 1394, but the sha has not changed since 1391 (the first build number for this sha). This is because promote artifacts sees that the sha has not changed, and therefore doesn't need to promote any new artifacts to production.

The autodeploy script should either deploy with the latest promoted artifacts, or exit early when it detects that the deployed sha has not changed,",,61313558,story,[],Autodeploy should be graceful when git sha has not changed,506755.0,[506755],956238,506755,chore,2013-11-22T22:41:59Z,https://www.pivotaltracker.com/story/show/61313558
2013-11-27T18:56:53Z,2013-10-01T00:44:02Z,accepted,,"During a deploy, vsphere ran out of resources and when tempest retried executing bosh, it ended with out of resource errors. This happened with a previous story so it seems like the issue is back. Enclosed is the bo task * --debug logs for all of the tasks that ran.",,57964476,story,"[{'name': 'pcf', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034572, 'updated_at': '2013-11-19T04:57:55Z'}]",out of sync error,81882.0,[81882],956238,81882,bug,2013-11-27T18:56:53Z,https://www.pivotaltracker.com/story/show/57964476
2013-11-27T19:42:29Z,2013-11-20T20:38:51Z,accepted,,"the current implementation creates the blobs for all to-be-imported packages, and then in a transaction save them to the database.
on an execption, the database records are rolled back, but the blobstore is left as is. this will prevent subsequent imports to proceed without manual intervention (because on import we blindly take the blobstore_id of the export side)",,61162324,story,"[{'name': 'compiled-packages', 'project_id': 956238, 'kind': 'label', 'created_at': '2014-01-09T18:12:51Z', 'id': 7435282, 'updated_at': '2014-07-31T04:56:46Z'}]",bosh import compiled packages should remove the new blobs on error,1338772.0,[1338772],956238,1338772,chore,2014-07-31T04:56:46Z,https://www.pivotaltracker.com/story/show/61162324
2013-11-27T23:13:41Z,2013-11-27T18:05:00Z,accepted,,"http://bosh-jenkins.cf-app.com:8080/job/bat_micro_vsphere_centos/212/

Shows a run that had leftover VMs sitting around.  They weren't cleaned up as expected because the leftover VMs were not powered off.  Need to power them off first, then remove them.",,61568252,story,[],Investigate BATs vSphere VM cleanup failures,1068489.0,[1068489],956238,1068489,chore,2013-11-27T23:13:41Z,https://www.pivotaltracker.com/story/show/61568252
2013-11-28T01:51:12Z,2013-11-19T21:21:59Z,accepted,,Broken out of #58381628,1.0,61074790,story,[],Update docs to reflect new style public stemcells,1068489.0,[1068489],956238,5637,feature,2013-11-28T01:51:13Z,https://www.pivotaltracker.com/story/show/61074790
2013-11-28T02:04:26Z,2013-11-19T23:09:47Z,accepted,,https://github.com/cloudfoundry/bosh/pull/453,1.0,61084540,story,[],Accept or otherwise comment on this syslog pull request from Kibana,1068489.0,[1068489],956238,1408486,feature,2013-11-28T02:04:26Z,https://www.pivotaltracker.com/story/show/61084540
2013-12-02T22:24:50Z,2013-11-25T18:26:17Z,accepted,,,1.0,61412354,story,[],Update to latest runtimes,1068489.0,[1068489],956238,1068489,feature,2013-12-02T22:24:25Z,https://www.pivotaltracker.com/story/show/61412354
2013-12-02T22:49:56Z,2013-11-21T01:03:02Z,accepted,,"Uploading a non-light AWS stemcell and then trying to delete it gives this error:

ubuntu@ip-10-194-45-189:/bosh$ bundle exec bosh delete stemcell bosh-aws-xen-ubuntu 1365
Checking if stemcell exists...
You are going to delete stemcell `bosh-aws-xen-ubuntu/1365'
Are you sure? (type 'yes' to continue): yes

Director task 14

Deleting stemcell from cloud
  delete stemcell: unable to find the image (00:00:01)
Error                   1/1 00:00:01

Error 100: unable to find the image

The AMI does get deleted, but the database row does not get deleted.

Traceback:

E, [2013-11-25T18:14:46.532857 #28429] [task:398] ERROR -- : unable to find the image
/var/vcap/packages/director/gem_home/gems/aws-sdk-1.8.5/lib/aws/core/resource.rb:238:in `rescue in block in define_attribute_getter'
/var/vcap/packages/director/gem_home/gems/aws-sdk-1.8.5/lib/aws/core/resource.rb:234:in `block in define_attribute_getter'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/resource_wait.rb:157:in `call'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/resource_wait.rb:157:in `block in for_resource'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/retryable.rb:23:in `block in retryer'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/retryable.rb:21:in `loop'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/retryable.rb:21:in `retryer'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/common.rb:119:in `retryable'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/resource_wait.rb:154:in `for_resource'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/resource_wait.rb:66:in `for_image'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/stemcell.rb:26:in `delete'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/cloud.rb:421:in `block in delete_stemcell'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/thread_formatter.rb:46:in `with_thread_name'
/var/vcap/packages/director/gem_home/gems/bosh_aws_cpi-1.5.0.pre.961/lib/cloud/aws/cloud.rb:419:in `delete_stemcell'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/jobs/delete_stemcell.rb:55:in `block in delete_from_cloud'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/event_log.rb:58:in `track'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/jobs/delete_stemcell.rb:54:in `delete_from_cloud'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/jobs/delete_stemcell.rb:33:in `block in perform'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/lock_helper.rb:35:in `block in with_stemcell_lock'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/lock.rb:58:in `lock'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/lock_helper.rb:34:in `with_stemcell_lock'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/jobs/delete_stemcell.rb:27:in `perform'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/job_runner.rb:98:in `perform_job'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/job_runner.rb:29:in `block in run'
/var/vcap/packages/director/gem_home/gems/bosh_common-1.5.0.pre.961/lib/common/thread_formatter.rb:46:in `with_thread_name'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/job_runner.rb:29:in `run'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/lib/director/jobs/base_job.rb:12:in `perform'
/var/vcap/packages/director/gem_home/gems/resque-1.23.1/lib/resque/job.rb:125:in `perform'
/var/vcap/packages/director/gem_home/gems/resque-1.23.1/lib/resque/worker.rb:186:in `perform'
/var/vcap/packages/director/gem_home/gems/resque-1.23.1/lib/resque/worker.rb:149:in `block in work'
/var/vcap/packages/director/gem_home/gems/resque-1.23.1/lib/resque/worker.rb:128:in `loop'
/var/vcap/packages/director/gem_home/gems/resque-1.23.1/lib/resque/worker.rb:128:in `work'
/var/vcap/packages/director/gem_home/gems/director-1.5.0.pre.961/bin/worker:76:in `<top (required)>'
/var/vcap/packages/director/bin/worker:23:in `load'
/var/vcap/packages/director/bin/worker:23:in `<main>'",,61179184,story,[],Non-light AWS stemcells cannot be deleted.,756869.0,[756869],956238,756869,bug,2013-12-02T22:49:31Z,https://www.pivotaltracker.com/story/show/61179184
2013-12-03T23:07:19Z,2013-12-03T22:56:12Z,accepted,,,,61857938,story,[],Investigate Travis test failures due to debugger gem,1068489.0,[1068489],956238,1068489,chore,2013-12-03T23:07:20Z,https://www.pivotaltracker.com/story/show/61857938
2013-12-04T01:19:53Z,2013-12-03T19:59:27Z,accepted,,"In preparation for a deploy after #61412354.

Micro and full BOSH on Dijon and Tabasco should be updated.",,61843830,story,[],Update pipeline bosh instances with new stemcell,1068489.0,[1068489],956238,1068489,chore,2013-12-04T01:19:53Z,https://www.pivotaltracker.com/story/show/61843830
2013-12-04T22:24:05Z,2013-11-21T01:04:29Z,accepted,,It would be useful for testing AWS stemcells (and because deleting heavy AWS stemcells doesn't actually work yet).,,61179350,story,[],User should be able to create an AWS light stemcell without publishing,637633.0,[637633],956238,756869,chore,2013-12-22T07:23:46Z,https://www.pivotaltracker.com/story/show/61179350
2013-12-06T00:22:26Z,2013-12-04T18:02:50Z,accepted,,Update micro and full BOSH on A1,,61916422,story,[],Update acceptance environment with new stemcell,1068489.0,[1068489],956238,1068489,chore,2013-12-06T00:22:26Z,https://www.pivotaltracker.com/story/show/61916422
2013-12-06T17:37:15Z,2013-12-03T18:19:20Z,accepted,,,,61835376,story,[],BOSH lite repo should have a license file,1408486.0,[1408486],956238,1408486,bug,2013-12-06T17:37:11Z,https://www.pivotaltracker.com/story/show/61835376
2013-12-06T17:38:53Z,2013-11-27T00:21:38Z,accepted,,"Hi. I would like to know the answer to the following:

Does BOSH support...

Networks in vCenter folders and subfolders?
Resource Pools in vCenter folders and subfolders?
Clusters in vCenter folders and subfolders?
Data Centers in vCenter folders and subfolders?
",1.0,61519862,story,[],Does BOSH support folders for different things?,506755.0,[506755],956238,548715,feature,2013-12-06T17:38:49Z,https://www.pivotaltracker.com/story/show/61519862
2013-12-06T18:35:06Z,2013-11-26T01:25:08Z,accepted,,"https://github.com/cloudfoundry/bosh/issues/460#issuecomment-29250004

Deployment `cf-c3692b2ed65396f3add9'

Director task 33

Error 100: PG::Error: ERROR:  invalid input syntax for integer: """"
LINE 1: ...yment_id"" = 1) AND (""job"" IS NULL) AND (""index"" = '')) LIMIT...

Task 33 error
Failed to fetch VMs information from director",,61442960,story,[],bosh vms should not error out on a postgres failure,1068489.0,[1068489],956238,494053,bug,2014-05-21T21:56:09Z,https://www.pivotaltracker.com/story/show/61442960
2013-12-06T18:37:26Z,2013-11-26T23:15:11Z,accepted,,See this story for details #61516544,1.0,61516610,story,[],Update configuration of bosh director for run.pivotal.io,756869.0,[756869],956238,285989,feature,2014-05-21T21:56:09Z,https://www.pivotaltracker.com/story/show/61516610
2013-12-06T18:40:05Z,2013-11-20T17:44:26Z,accepted,,"cloud_controller_ng/29.1-dev                     |ooooooooooooooooo           | 5/8 00:05:29  ETA: 00:00:10                                                                                                                        
cloud_controller_ng/29.1-dev (00:05:31) |ooooooooooooooooooooo  | 6/8 00:05:46  ETA: 00:00:48
                                                                                                                        
Error                                       6/8 00:05:31

Error 100: Unable to access file [onion-ds] sc-9842e78b-aa68-40d4-8b3a-421a1672afa4 / datastore-24/sc-9842e78b-aa68-40d4-8b3a-421a1672afa4 / datastore-24.vmdk since it is locked",,61148420,story,[],Investigation: Bosh deploy is failing on vsphere with a locked vmdk },506755.0,[506755],956238,163328,chore,2013-12-06T18:40:05Z,https://www.pivotaltracker.com/story/show/61148420
2013-12-06T22:02:29Z,2013-11-26T17:51:55Z,accepted,,See #61492572,1.0,61492730,story,[],Fix cloudability integration,1068489.0,[1068489],956238,353433,feature,2014-01-08T18:20:56Z,https://www.pivotaltracker.com/story/show/61492730
2013-12-06T22:25:41Z,2013-11-15T23:52:19Z,accepted,,"upload_and_track could return :unknowon, :task_timeout, etc.return statuses. We should probably raise a cli error if return status is not success.",,60884440,story,"[{'name': 'compiled-packages', 'project_id': 956238, 'kind': 'label', 'created_at': '2014-01-09T18:12:51Z', 'id': 7435282, 'updated_at': '2014-07-31T04:56:46Z'}, {'name': 'pcf', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034572, 'updated_at': '2013-11-19T04:57:55Z'}]",user should see a cli error if task that is created by `bosh compiled_packages import ...` does not succeed.,1068489.0,[1068489],956238,81882,bug,2014-07-31T04:56:46Z,https://www.pivotaltracker.com/story/show/60884440
2013-12-06T22:35:59Z,2013-10-07T21:26:34Z,accepted,,Acceptance:  Tammer can look at the release/index.yml directory on github and see the recent releases.,4.0,58382172,story,"[{'name': 'release', 'project_id': 956238, 'kind': 'label', 'created_at': '2013-11-14T20:34:18Z', 'id': 7034564, 'updated_at': '2013-11-14T20:34:18Z'}]",Publish all BOSH releases as final releases to blobs.cfblobs.com after green CI,1068489.0,[1068489],956238,14062,feature,2013-12-06T22:36:00Z,https://www.pivotaltracker.com/story/show/58382172
2013-12-06T22:51:29Z,2013-11-07T23:17:22Z,accepted,,"Current implementation assumes a tight succession of (upload-release, import compiled packages, deploy).
An operator should be able to import the same exported compiled packages more than once and proceed.",1.0,60373962,story,"[{'name': 'compiled-packages', 'project_id': 956238, 'kind': 'label', 'created_at': '2014-01-09T18:12:51Z', 'id': 7435282, 'updated_at': '2014-07-31T04:56:46Z'}]",Make import compiled packages idempotent.,1338772.0,[1338772],956238,81882,feature,2014-07-31T04:56:46Z,https://www.pivotaltracker.com/story/show/60373962
